#REFERENCE 0

#SYSTEM 1
1 1 180.1539267 -1.458720556 0.10 0.10 1.419649495
1 2 180.1533667 -1.458059722 0.10 0.10 1.419936636
1 3 180.1655904 -1.449691111 0.10 0.10 1.419056580
1 4 180.1636375 -1.447751667 0.10 0.10 1.418411896
1 5 180.1594250 -1.450021667 0.10 0.10 1.418970831

#SYSTEM 2
2 1 180.1554108 -1.460539167 0.10 0.10 1.406909888
2 2 180.1549083 -1.452816667 0.10 0.10 1.405739763
2 3 180.1653792 -1.447126389 0.10 0.10 1.406608809
2 4 180.1646000 -1.445385000 0.10 0.10 1.406035408
2 5 180.1654458 -1.445318056 0.10 0.10 1.407166963
2 6 180.1700250 -1.455230833 0.10 0.10 1.406376045
